Question,choice_1,choice_2,choice_3,choice_4,answer
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
Whatisjava?,Abc,CDF,LMN,EFG,HIJ
